49
-9	-9  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	-6  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	-3  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	0  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	3  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	6  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-9	9  0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-6	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
-3	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
0	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
3	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
6	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	-9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	-6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	-3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	0 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	3 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	6 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
9	9 0.50
3
 1.0  0.1 0.0
 2.0  0.2 0.0
 3.0  0.3 0.0
